編號,車位類別,車位價格,車位面積平方公尺
RPWNMLMLLHMFFAF28CA,坡道平面,2750000,49.64
RPWNMLMLLHMFFAF28CA,坡道平面,2750000,49.64
RPSNMLMLLHMFFAF87CA,坡道平面,1800000,28.75
RPWOMLSKMHMFFAF98CA,坡道平面,0,25.38
RPWOMLSKMHMFFAF98CA,坡道平面,0,25.38
RPVROLLKMHMFFAF68CA,坡道機械,0,8.75
RPSPMLNLLHMFFBF28CA,坡道平面,0,42.54
RPXNMLNLLHMFFBF58CA,坡道平面,0,
RPTNMLRLLHMFFBF58CA,坡道平面,0,
RPQOMLMLLHMFFBF87CA,坡道平面,0,15.85
RPTOMLMLLHMFFBF18CA,坡道平面,0,
RPXNMLRJMHMFFHF07EA,升降機械,0,17.09
RPVOMLPLMHMFFGF86EA,坡道平面,0,32.56
RPVOMLPLMHMFFGF86EA,坡道平面,0,32.56
RPVNMLMLLHMFFGF98EA,坡道平面,0,
SPVNMLMLLHMFFGF09EA,坡道平面,0,
RPOOMLLLLHMFFIF38DA,坡道平面,0,36.74
RPQNMLPLLHMFFHF78DA,坡道機械,1800000,34.05
RPRNMLMLLHMFFBF08EA,坡道平面,1300000,38.25
RPSNMLMLLHMFFBF18EA,坡道平面,0,33.63
RPSNMLMLLHMFFBF18EA,坡道平面,0,33.63
RPQOMLMLLHMFFBF08EA,坡道平面,0,
RPTQMLLLMHMFFEF88EA,坡道平面,0,41.22
RPUQMLLLMHMFFEF98EA,坡道平面,0,14.12
RPVNMLLJNHMFFCF48EA,坡道平面,1550000,33.85
RPVNMLLJNHMFFCF48EA,坡道平面,1550000,33.85
RPVNMLLJNHMFFCF48EA,坡道平面,1550000,33.85
RPSPMLNLLHMFFDF58DA,坡道平面,1800000,24.23
RPOOMLOKMHMFFEF28DA,坡道平面,1200000,35.93
RPTPMLOLLHMFFEF88DA,升降機械,1000000,
RPVQMLNLLHMFFEF09DA,坡道平面,1200000,33.62
RPOOMLMLLHMFFEF08DA,坡道機械,0,17.30
RPOOMLMLLHMFFEF08DA,坡道機械,2000000,17.30
RPSPMLNLLHMFFGF88DA,坡道機械,1000000,17.69
RPPNMLMLLHMFFHF38DA,坡道平面,1600000,34.06
RPSNMLQLLHMFFBF48DA,坡道平面,0,13.59
RPOPMLNLLHMFFBF97DA,坡道平面,1300000,25.18
RPROMLLLLHMFFCF08DA,坡道平面,0,33.34
RPOOMLMLLHMFFIF38CA,坡道平面,1100000,16.46
RPTPMLKMLHMFFIF88CA,坡道平面,0,29.80
RPTPMLKMLHMFFIF88CA,坡道平面,0,29.80
RPQNMLKMLHMFFIF38CA,坡道平面,0,29.80
RPQNMLKMLHMFFIF38CA,坡道平面,0,29.80
RPUNMLSLLHMFFIF86CA,坡道機械,0,26.98
RPPOMLSLLHMFFHF98CA,坡道平面,0,26.57
RPVOMLRJMHMFFHF76CA,坡道平面,0,22.13
RPPPMLKMLHMFFHF38CA,坡道平面,1400000,33.75
RPVPMLLLLHMFFHF98CA,坡道平面,0,36.05
RPWOMLRKMHMFFGF86CA,坡道平面,0,23.39
RPTOMLSKMHMFFGF66CA,升降平面,0,
RPVNMLTLLHMFFHF96CA,升降機械,1900000,18.68
RPXNMLTLLHMFFHF17CA,升降機械,1800000,18.68
RPOOMLTLLHMFFHF98CA,升降機械,1800000,18.68
RPPOMLTLLHMFFHF09CA,升降機械,1900000,18.68
RPQOMLTLLHMFFHF56CA,升降機械,1800000,18.68
RPROMLTLLHMFFHF66CA,升降機械,1900000,18.68
RPTOMLTLLHMFFHF86CA,升降機械,1800000,18.68
RPUOMLTLLHMFFHF96CA,升降機械,1800000,18.68
RPVOMLTLLHMFFHF07CA,升降機械,1900000,18.68
RPUNMLRLLHMFFHF66CA,升降機械,0,8.72
RPVNMLSLLHMFFHF86CA,坡道平面,2100000,39.90
SPVNMLSLLHMFFHF96CA,坡道平面,1980000,39.90
RPXOMLTLLHMFFHF27CA,升降機械,1800000,18.68
RPXNMLKMLHMFFHF98CA,升降機械,1900000,18.68
RPXOMLMLLHMFFIF66CA,坡道平面,0,28.76
RPPOMLNLLHMFFIF58CA,坡道平面,0,41.63
RPWNMLOLLHMFFIF66CA,坡道平面,0,43.31
RPQPMLKMLHMFFIF58CA,坡道平面,0,
RPXOMLPJMHMFFIF86CA,坡道平面,900000,32.72
RPQOMLMLLHMFFIF58CA,坡道機械,850000,7.03
RPVRMLLKMHMFFHF56CA,坡道平面,0,18.57
RPVRMLLKMHMFFHF56CA,坡道平面,0,18.57
RPQNMLMKMHMFFHF38CA,坡道平面,1500000,33.07
RPQNMLMKMHMFFHF38CA,坡道平面,1500000,33.07
RPQNMLMKMHMFFHF38CA,坡道平面,1500000,33.07
RPQNMLMKMHMFFHF38CA,坡道平面,1500000,33.07
RPQNMLMKMHMFFHF38CA,坡道平面,1500000,33.07
RPQNMLMKMHMFFHF38CA,坡道平面,1500000,33.07
RPQNMLMKMHMFFHF38CA,坡道平面,1500000,33.07
RPQNMLMKMHMFFHF38CA,坡道平面,1500000,33.07
RPQNMLMKMHMFFHF38CA,坡道平面,1500000,33.07
RPQNMLMKMHMFFHF38CA,坡道平面,1500000,33.07
RPQNMLMKMHMFFHF38CA,坡道平面,1500000,33.07
RPQNMLMKMHMFFHF38CA,坡道平面,1500000,33.07
RPQNMLMKMHMFFHF38CA,坡道平面,1500000,33.07
RPQNMLMKMHMFFHF38CA,坡道平面,1500000,33.07
RPVOMLMKMHMFFHF98CA,升降機械,0,4.87
RPROMLKKMHMFFHF38CA,塔式車位,1200000,
RPTOMLNKMHMFFIF98CA,坡道平面,0,
RPPOMLNLLHMFFAF87DA,坡道平面,1800000,
RPROMLMLLHMFFAF97DA,坡道平面,2000000,29.53
RPXOMLSLLHMFFAF56DA,坡道平面,1800000,
RPQNMLNLLHMFFCF08DA,坡道平面,0,24.85
RPQNMLNLLHMFFCF08DA,坡道平面,0,24.85
RPRNMLNLLHMFFCF18DA,坡道平面,1550000,24.85
RPRNMLQLLHMFFBF38DA,坡道平面,1500000,29.72
RPRNMLPLLHMFFGF78DA,坡道平面,2000000,32.44
RPQOMLOLLHMFFGF68DA,坡道平面,2200000,30.00
RPSNMLSLLHMFFEF98DA,坡道機械,0,32.33
RPVNMLOLMHMFFEF09EA,坡道平面,0,
RPXOMLOLMHMFFEF76EA,坡道平面,0,41.28
RPQPMLOLMHMFFEF78EA,坡道平面,1500000,31.36
RPOOMLNLLHMFFBF97EA,坡道平面,0,
RPTOMLRLLHMFFIF86DA,坡道機械,1200000,10.79
RPTNMLNLLHMFFIF98DA,坡道平面,0,32.46
RPSNMLRLMHMFFIF86EA,坡道平面,0,47.08
RPOOMLRLLHMFFBF18CA,坡道平面,0,39.13
RPOOMLRLLHMFFBF18CA,坡道平面,0,39.13
RPPOMLRLLHMFFBF28CA,坡道平面,0,39.97
RPVPMLOLLHMFFBF68CA,坡道平面,0,15.85
RPRQMLOLLHMFFBF38CA,坡道平面,1500000,37.26
RPXOMLRLLHMFFBF09CA,坡道平面,0,31.38
RPOPMLRLLHMFFBF28CA,坡道平面,1000000,37.27
RPWPMLNLLHMFFBF68CA,坡道機械,0,
