鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
桃園區,房地(土地+建物),桃園市桃園區中山路991~1020號,12.43,工,,,1060213,土地1建物1車位0,三層,十七層,其他,見其他登記事項,鋼筋混凝土造,0840414,112.53,3,1,2,有,有,4350000,38656,,0.0,0,,RPRQMLQLMHMFFAH98EA
桃園區,房地(土地+建物),桃園市桃園區大同路61~90號,4.99,商,,,1060208,土地4建物1車位0,四層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0890524,33.18,1,1,1,有,有,2500000,75347,,0.0,0,,RPQQMLQLMHMFFAH88EA
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路403巷1~30號,19.56,住,,,1060215,土地2建物2車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890203,145.02,3,1,2,有,有,6370000,43925,坡道平面,0.0,0,,RPOOMLNJNHMFFAH08EA
桃園區,房地(土地+建物)+車位,桃園市桃園區中山路991~1020號,12.79,工,,,1060220,土地1建物1車位1,一層,十七層,廠辦,見其他登記事項,鋼筋混凝土造,0840414,122.28,2,1,1,有,有,3700000,30258,坡道平面,0.0,0,,RPOOMLOJNHMFFAH18EA
桃園區,房地(土地+建物),桃園市桃園區春日路975巷1~30號,34.54,其他,,,1060221,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0771202,114.72999999999999,3,2,2,有,無,4110000,35823,,0.0,0,,RPWOMLOJNHMFFAH98EA
龜山區,土地,舊路坑三段391~420地號,33.06,其他,,,1060225,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,530000,16031,,0.0,0,親屬間之交易。增值稅由權利人繳納.,RPQNMLPKLHMFFHH78CA
龜山區,土地,舊路坑三段391~420地號,3.43,其他,,,1060225,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,103757,30250,,0.0,0,,RPRNMLPKLHMFFHH88CA
龜山區,房地(土地+建物),桃園市龜山區豐榮街26巷1~30號,65.92,住,,,1060208,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0930120,171.67,4,2,3,有,無,8550000,49805,,0.0,0,,RPPNMLKLLHMFFHH28CA
龜山區,房地(土地+建物),桃園市龜山區南上路391~420號,352.14,工,,,1060202,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0870707,506.95,0,0,0,無,無,31000000,61150,,0.0,0,,RPRNMLKMLHMFFHH58CA
龜山區,土地,楓樹坑段坪頂頂湖小段241~270地號,826.75,住,,,1030701,土地12建物0車位0,,,其他,,,,0.0,0,0,0,有,無,37500000,45358,,0.0,0,,RPPNMLLMLHMFFHH48CA
