編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUNMLKMLHMFFGN76CA,1,154.24,住家用,鋼筋混凝土造,105年9月13日,三層,一層 二層 三層
RPRNMLRJMHMFFDN76DA,38,90.90,住家用,鋼筋混凝土加強磚造,68年7月16日,二層,一層 二層
RPPNMLRJMHMFFHN86CA,,176.43,見其他登記事項,鋼筋混凝土造,105年11月22日,三層,一層 二層 三層 屋頂突出物
RPUNMLSLLHMFFDN17CA,31,111.42,住家用,加強磚造,74年12月17日,二層,一層 二層
RPRNMLKMLHMFFDN78CA,42,115.89,住家用,鋼筋混凝土加強磚造,64年5月3日,三層,一層 二層 三層
RPOOMLQJMHMFFDN98CA,21,14.17,見其他登記事項,鋼筋混凝土造,85年2月12日,十三層,地下一層
RPOOMLQJMHMFFDN98CA,21,22.90,商業用,鋼筋混凝土造,85年2月12日,十三層,
RPOOMLQJMHMFFDN98CA,21,3.78,見其他登記事項,鋼筋混凝土造,85年2月12日,十三層,
RPOOMLQJMHMFFDN98CA,21,6.87,見其他登記事項,鋼筋混凝土造,85年2月12日,十三層,地下一層
RPOOMLQJMHMFFDN98CA,21,11.15,商業用,鋼筋混凝土造,85年2月12日,十三層,
RPOOMLQJMHMFFDN98CA,21,1.51,見其他登記事項,鋼筋混凝土造,85年2月12日,十三層,
RPOOMLQJMHMFFDN98CA,21,6.87,見其他登記事項,鋼筋混凝土造,85年2月12日,十三層,地下一層
RPOOMLQJMHMFFDN98CA,21,11.15,商業用,鋼筋混凝土造,85年2月12日,十三層,
RPOOMLQJMHMFFDN98CA,21,1.51,見其他登記事項,鋼筋混凝土造,85年2月12日,十三層,
RPVNMLRJMHMFFDN07CA,11,98.16,見其他登記事項,鋼筋混凝土造,95年7月19日,四層,一層 二層 三層 四層 地下一層
RPVNMLRJMHMFFDN07CA,11,98.16,見其他登記事項,鋼筋混凝土造,95年7月19日,四層,一層 二層 三層 四層 地下一層
RPVNMLRJMHMFFDN07CA,11,9.68,見其他登記事項,鋼筋混凝土造,95年7月19日,一層,
RPVNMLRJMHMFFDN07CA,11,98.16,見其他登記事項,鋼筋混凝土造,95年7月19日,四層,一層 二層 三層 四層 地下一層
RPWNMLTKMHMFFDN47CA,2,163.85,見其他登記事項,鋼筋混凝土造,104年3月11日,三層,一層 二層 三層 屋頂突出物
RPRNMLTLLHMFFEN07CA,2,183.60,農舍,見其他登記事項,104年8月21日,二層,一層 二層
RPVNMLTLLHMFFAN07CA,36,184.36,住家用,鋼筋混凝土加強磚造,69年12月31日,二層,一層 二層
RPPNMLLMLHMFFAN38CA,20,86.01,住家用,鋼筋混凝土造,86年5月26日,十七層,七層
RPPNMLLMLHMFFAN38CA,20,23.59,見其他登記事項,鋼筋混凝土造,86年5月26日,十七層,
RPVNMLKMLHMFFAN88CA,40,128.64,住家用,混凝土造,66年4月12日,三層,一層 二層 三層
RPRNMLLMLHMFFAN58CA,23,155.11,住家用,鋼筋混凝土造,83年8月24日,四層,一層 二層 三層 四層
RPOOMLOKMHMFFAN58CA,42,85.60,住家用,鋼筋混凝土加強磚造,63年12月31日,二層,一層 二層
RPRNMLTJMHMFFAN56CA,2,260.16,見其他登記事項,鋼筋混凝土造,104年3月24日,四層,一層 二層 三層 四層 地下一層
RPRNMLTJMHMFFAN56CA,3,25.08,見其他登記事項,鋼筋混凝土造,103年3月24日,四層,
RPPNMLLMLHMFFBN48CA,25,10.21,見其他登記事項,鋼筋混凝土造,80年12月31日,,地下層
RPPNMLLMLHMFFBN48CA,25,224.42,住工用,鋼筋混凝土造,80年12月31日,四層,一層 二層 三層 四層
RPRNMLLMLHMFFBN68CA,,149.54,見其他登記事項,鋼筋混凝土造,105年8月3日,三層,一層 二層 三層 見其他登記事項
RPRNMLPJMHMFFBN88CA,,235.59,住家用,鋼筋混凝土造,105年11月29日,四層,一層 二層 三層 四層
RPWNMLNKMHMFFAN56CA,11,326.92,住家用,鋼筋混凝土造,94年11月16日,四層,一層 二層 三層 四層
